model,dataset,total_params_M,trainable_params_M,trainable_pct,pure_train_min,model_load_s,peak_gpu_gb,adapter_MB,ft_latency_s,ft_latency_median_s,ft_latency_p90_s,ft_new_tokens,ft_tokens_per_s,ft_samples_per_s,ft_pct_hit_token_cap,zs_latency_s,zs_new_tokens
Gemma-3 1B,ASSET,1012.9,13.05,1.288,20.59,40.05,1.67,52.23,3.5855,3.3296,5.7388,24.0,6.69,0.2789,0.0,24.6826,252.81
Gemma-3 1B,MEDEASI,1012.9,13.05,1.288,14.48,29.41,2.82,52.23,3.7228,3.3193,6.4352,24.89,6.69,0.2686,0.0,24.7534,255.86
Qwen3 1.7B,ASSET,1738.0,17.43,1.003,15.54,43.56,3.15,69.78,1.7231,1.6068,2.6245,23.85,13.84,0.5803,0.0,1.3608,27.55
Qwen3 1.7B,MEDEASI,1738.0,17.43,1.003,10.97,37.67,2.24,69.78,2.1719,1.6887,3.9474,30.73,14.15,0.4604,0.0,1.6892,34.72
DeepSeek-Distill 1.5B,ASSET,1795.6,18.46,1.028,16.5,60.55,2.29,73.91,1.5974,1.4846,2.415,23.78,14.89,0.626,0.0,4.8969,117.15
DeepSeek-Distill 1.5B,MEDEASI,1795.6,18.46,1.028,11.43,23.13,3.03,73.91,1.5325,1.3697,2.4242,22.69,14.8,0.6525,0.0,5.0915,121.59
