system,index,sari,fkgl,bertscore_raw,bertscore_rescaled,bertscore_singleref_raw
identity,0,57.401033538360416,16.411176470588234,97.9422390460968,87.80761361122131,95.29271125793457
identity,1,55.44088153046922,13.388695652173912,98.05113673210144,88.4528398513794,93.15673112869263
identity,2,57.76719512495433,5.616470588235295,99.2502510547638,95.55768370628357,91.17859601974487
identity,3,54.57281903787693,11.3,98.65988492965698,92.05971956253052,91.52603149414062
identity,4,53.979754353605855,11.58896551724138,97.77920246124268,86.84160709381104,95.80152034759521
identity,5,54.19674775030441,4.830000000000002,98.6842691898346,92.20419526100159,98.20171594619751
identity,6,54.79302365273858,9.740000000000002,99.18792247772217,95.18837928771973,99.18792843818665
identity,7,54.541349560971476,11.336521739130436,97.86934852600098,87.37573027610779,97.09721207618713
identity,8,51.14665032725095,14.60666666666667,99.38026070594788,96.32799625396729,97.28438258171082
identity,9,56.65293848883225,22.31117647058824,99.27905201911926,95.72833180427551,99.27905201911926
identity,10,53.79632081287823,13.080000000000002,99.63907599449158,97.86149859428406,99.63908195495605
identity,11,54.08489854061534,9.08705882352941,99.21334981918335,95.33904194831848,94.49559450149536
identity,12,53.65013851110771,11.3,97.40228652954102,84.60835218429565,94.5687472820282
identity,13,48.954865452104926,15.043703703703706,97.58858680725098,85.71219444274902,90.41867256164551
identity,14,52.85416362539134,10.941428571428574,99.31854009628296,95.96229791641235,95.24562954902649
identity,15,59.79426610940529,4.91076923076923,98.84783029556274,93.17330718040466,98.43271374702454
identity,16,48.93143449032789,4.830000000000002,98.02865982055664,88.31966519355774,95.18517255783081
identity,17,45.941188441188444,14.283333333333335,99.68615770339966,98.14046025276184,95.449960231781
identity,18,52.24079452919873,11.520000000000003,97.78432846069336,86.87198162078857,97.00714945793152
identity,19,54.44113657940887,8.39294117647059,98.0575442314148,88.49080204963684,98.05755019187927
identity,20,58.24582821264151,5.806666666666668,99.99999403953552,99.99996423721313,96.15973234176636
identity,21,56.48502114162308,7.612500000000001,99.6162474155426,97.72623777389526,93.45858097076416
identity,22,56.15279762797859,11.68,99.6368408203125,97.84825444221497,94.79432702064514
identity,23,57.82343240617721,8.350000000000005,99.61428642272949,97.71462082862854,94.84820365905762
identity,24,56.07160402548475,17.242307692307694,99.43963289260864,96.67978286743164,98.58092665672302
identity,25,58.495335029896324,8.265,99.00045394897461,94.07761693000793,97.67699837684631
identity,26,61.21608660907852,11.142857142857142,99.58198070526123,97.52320647239685,99.49565529823303
identity,27,57.27329056226252,15.895,98.94993901252747,93.77831220626831,98.92017841339111
identity,28,57.06666762366639,6.8750000000000036,99.06963109970093,94.48749423027039,97.87709712982178
identity,29,54.86078224173462,9.087500000000002,98.55275750160217,91.42497777938843,96.51917219161987
identity,30,57.47076473452688,9.825,99.43124651908875,96.6300904750824,97.21522927284241
identity,31,60.6632744681532,12.860000000000003,99.43053722381592,96.62588834762573,98.75673651695251
identity,32,50.603289800838866,14.64,98.56480956077576,91.49639010429382,93.65550875663757
identity,33,56.63894223007707,6.790000000000003,99.18254017829895,95.15649080276489,95.16125917434692
identity,34,51.60813227134307,15.383333333333336,98.23818802833557,89.56113457679749,95.16124725341797
identity,35,54.03580547447716,15.98,97.54610061645508,85.46046018600464,94.1058874130249
identity,36,59.31585466238932,14.798947368421054,99.64320063591003,97.88593649864197,97.36790060997009
identity,37,53.1990178256192,11.152000000000001,98.28141927719116,89.81727957725525,94.56090331077576
identity,38,50.73202589831386,3.997142857142858,99.5612382888794,97.40030169487,96.33086323738098
identity,39,50.20549222397322,18.19909090909091,99.47114586830139,96.86650037765503,97.63291478157043
identity,40,49.52888104701341,17.951428571428576,99.29568767547607,95.8268940448761,91.15705490112305
identity,41,53.1627820692716,10.356923076923078,98.55817556381226,91.45708084106445,95.65789103507996
identity,42,54.42156764337419,15.022941176470592,98.42564463615417,90.67182540893555,94.50552463531494
identity,43,58.44744016169702,7.773333333333333,99.13100600242615,94.85114812850952,94.88470554351807
identity,44,52.01846085428047,13.718888888888891,98.7568736076355,92.63438582420349,91.35875701904297
